From File,To File,References,From Entities,To Entities
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConfRunningAndRecordingEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConfRunningEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceStartRecordingEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserJoinedEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserLeftEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserLockedEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserMutedEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUsersStatusEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfMember.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUsersStatusEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfRecording.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUsersStatusEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserTalkingEvent.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConferenceEvent.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/BroadcastConferenceCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/BroadcastConferenceCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",6,3,4
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/BroadcastConferenceCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckFreeswitchStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckFreeswitchStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/FreeswitchStatusReplyEvent.java",3,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckFreeswitchStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",2,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckFreeswitchStatusCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java",3,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckIfConfIsRunningCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckIfConfIsRunningCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ForceEjectUserCommand.java",2,1,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckIfConfIsRunningCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",13,4,6
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckIfConfIsRunningCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/DelayedCommandSenderService.java",4,3,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckIfConfIsRunningCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMember.java",8,2,6
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckIfConfIsRunningCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/XMLResponseConferenceListParser.java",5,2,3
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckIfConfIsRunningCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java",3,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java",3,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfRecording.java",4,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceConfRunningAndRecordingEvent.java",5,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",6,4,4
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMember.java",5,2,4
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/XMLResponseConferenceListParser.java",5,2,3
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslMessage.java",3,2,2
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/DeafUserCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",5,3,4
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/DelayedCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",1,1,1
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectAllUsersCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",3,3,3
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectUserCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java",3,3,3
"/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ForceEjectUserCommand.java","/Users/andreseidenglanz/code/seminar/bigbluebutton/akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConferenceEventListener.java",1,1,1
